Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-08-22,Bayern Munich,Wolfsburg,2,1,1,0,H,17,9,10,4,9,3,5,9,Bundesliga,2.57012,1.19842,5,4,9.625,21.85,1.26,6.37,11.5,2014/2015,1,5
2014-08-23,Dortmund,Leverkusen,0,2,0,1,A,11,11,4,2,8,4,13,28,Bundesliga,0.482324,1.14915,2,5,3.333333333333333,5.8,1.62,4.23,5.39,2014/2015,2,4
2014-08-23,Ein Frankfurt,Freiburg,1,0,1,0,H,10,13,3,7,6,5,17,22,Bundesliga,1.75331,1.38084,3,13,10.517241379310343,3.4651162790697674,2.06,3.46,3.76,2014/2015,13,14
2014-08-23,FC Koln,Hamburg,0,0,0,0,D,10,19,3,4,3,6,23,16,Bundesliga,0.522276,0.913337,4,2,13.08,7.068965517241379,2.04,3.59,3.67,2014/2015,-1,16
2014-08-23,Hannover,Schalke 04,2,1,0,0,H,8,12,3,5,2,4,12,15,Bundesliga,1.17979,0.956665,4,3,9.642857142857142,6.055555555555555,3.11,3.44,2.34,2014/2015,10,3
2014-08-23,Hertha,Werder Bremen,2,2,1,0,D,19,9,5,5,9,5,17,18,Bundesliga,1.75585,1.19453,3,5,5.685714285714286,9.869565217391305,1.97,3.54,3.95,2014/2015,11,12
2014-08-23,Hoffenheim,Augsburg,2,0,2,0,H,10,12,3,2,7,3,19,15,Bundesliga,1.52873,0.280777,6,2,6.588235294117647,5.739130434782608,1.96,3.67,3.84,2014/2015,9,8
2014-08-24,M'gladbach,Stuttgart,1,1,0,0,D,19,7,6,3,6,3,8,16,Bundesliga,2.40939,0.433199,7,3,14.105263157894736,14.5,1.95,3.58,3.99,2014/2015,6,15
2014-08-24,Paderborn,Mainz,2,2,1,1,D,10,14,3,4,4,3,16,14,Bundesliga,0.35254,1.84123,5,7,7.275,8.15,3.09,3.36,2.38,2014/2015,-2,7
2014-08-29,Augsburg,Dortmund,2,3,0,2,A,12,22,3,9,3,6,9,12,Bundesliga,1.00422,2.30342,2,8,9.041666666666666,13.814814814814817,4.75,3.86,1.73,2014/2015,8,2
2014-08-30,Hamburg,Paderborn,0,3,0,1,A,13,15,4,7,8,3,16,16,Bundesliga,1.14049,2.37004,5,2,3.8285714285714287,9.82857142857143,1.73,3.83,4.84,2014/2015,16,-2
2014-08-30,Leverkusen,Hertha,4,2,0,1,H,21,3,7,1,5,6,11,20,Bundesliga,2.53036,0.712547,8,3,3.9565217391304346,9.375,1.44,4.74,6.91,2014/2015,4,11
2014-08-30,Schalke 04,Bayern Munich,1,1,0,1,D,8,10,4,4,1,3,15,15,Bundesliga,1.30795,1.50328,1,10,17.695652173913043,4.7560975609756095,6.33,4.67,1.49,2014/2015,3,1
2014-08-30,Stuttgart,FC Koln,0,2,0,2,A,14,10,5,4,7,4,11,11,Bundesliga,0.722885,1.2983,9,4,6.296296296296297,26.0,2.01,3.54,3.84,2014/2015,15,-1
2014-08-30,Werder Bremen,Hoffenheim,1,1,0,1,D,15,12,1,1,6,6,20,13,Bundesliga,2.51429,1.29948,5,2,4.888888888888889,4.585365853658536,3.21,3.61,2.19,2014/2015,12,9
2014-08-30,Wolfsburg,Ein Frankfurt,2,2,1,1,D,14,9,11,4,4,3,19,11,Bundesliga,1.00484,1.59633,4,2,4.971428571428572,12.75,1.63,4.24,5.16,2014/2015,5,13
2014-08-31,Freiburg,M'gladbach,0,0,0,0,D,17,9,4,3,4,5,11,13,Bundesliga,1.30113,0.321709,7,1,10.869565217391305,19.0,2.96,3.44,2.4,2014/2015,14,6
2014-08-31,Mainz,Hannover,0,0,0,0,D,14,11,2,6,4,2,12,14,Bundesliga,1.0088,0.561787,7,7,11.294117647058824,10.12,2.2,3.45,3.33,2014/2015,7,10
