Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2019-08-16,Bayern Munich,Hertha,2,2,D,1,2,17,6,7,3,12,0,6,17,Bundesliga,2.47707,1.18459,17,2,10.5,16.217391304347824,1.17,7.81,15.08,2019/2020,1.0,11.0
2019-08-17,Dortmund,Augsburg,5,1,H,1,1,23,5,10,1,10,0,8,6,Bundesliga,3.25906,0.904482,14,3,5.913043478260869,22.666666666666668,1.21,6.69,14.13,2019/2020,2.0,15.0
2019-08-17,Freiburg,Mainz,3,0,H,0,0,19,19,8,5,5,5,6,15,Bundesliga,1.88401,0.784216,3,8,20.2,10.391304347826088,2.22,3.35,3.41,2019/2020,13.0,12.0
2019-08-17,Leverkusen,Paderborn,3,2,H,2,2,13,11,4,6,6,6,8,9,Bundesliga,2.47615,1.20475,9,2,3.838709677419355,17.379310344827587,1.27,5.97,11.02,2019/2020,4.0,-2.0
2019-08-17,Werder Bremen,Fortuna Dusseldorf,1,3,A,0,1,23,12,10,7,14,5,8,13,Bundesliga,2.0112,1.01536,14,7,11.866666666666667,21.0,1.74,3.92,4.7,2019/2020,8.0,10.0
2019-08-17,Wolfsburg,FC Koln,2,1,H,1,0,14,11,5,2,2,6,14,18,Bundesliga,0.9793,0.662001,5,2,8.555555555555555,7.103448275862069,1.91,3.79,3.94,2019/2020,6.0,-1.0
2019-08-17,M'gladbach,Schalke 04,0,0,D,0,0,16,8,4,1,8,3,8,10,Bundesliga,1.43141,0.760773,7,5,5.757575757575758,15.285714285714286,2.06,3.48,3.7,2019/2020,5.0,14.0
2019-08-18,Ein Frankfurt,Hoffenheim,1,0,H,1,0,17,10,8,1,10,5,16,9,Bundesliga,1.8214,0.634831,4,4,11.454545454545457,6.444444444444445,2.3,3.66,2.98,2019/2020,7.0,9.0
2019-08-18,Union Berlin,RB Leipzig,0,4,A,0,3,13,14,2,8,3,6,14,5,Bundesliga,0.782907,3.93387,2,12,15.76923076923077,8.227272727272727,4.78,4.03,1.71,2019/2020,-3.0,3.0
2019-08-23,FC Koln,Dortmund,1,3,A,1,0,13,14,1,6,7,8,11,10,Bundesliga,0.937461,2.08181,2,6,16.625,4.565217391304348,6.3,4.73,1.48,2019/2020,-1.0,2.0
2019-08-24,Augsburg,Union Berlin,1,1,D,0,0,12,13,4,1,3,4,16,19,Bundesliga,1.37579,0.891198,3,2,6.111111111111111,6.931034482758621,2.25,3.36,3.32,2019/2020,15.0,-3.0
2019-08-24,Fortuna Dusseldorf,Leverkusen,1,3,A,0,3,11,11,6,7,1,5,14,10,Bundesliga,1.12017,1.82469,4,7,18.76,5.137931034482759,4.46,4.23,1.72,2019/2020,10.0,4.0
2019-08-24,Hoffenheim,Werder Bremen,3,2,H,0,1,10,18,3,6,3,6,13,15,Bundesliga,1.05096,0.841426,4,3,10.5,16.526315789473685,1.88,3.9,3.97,2019/2020,9.0,8.0
2019-08-24,Mainz,M'gladbach,1,3,A,1,1,21,15,4,6,3,5,12,14,Bundesliga,1.81289,2.09431,5,9,8.172413793103448,10.72222222222222,2.84,3.42,2.5,2019/2020,12.0,5.0
2019-08-24,Paderborn,Freiburg,1,3,A,1,2,15,9,2,4,9,5,20,6,Bundesliga,1.81166,2.38424,4,7,5.5588235294117645,14.470588235294118,2.37,3.62,2.9,2019/2020,-2.0,13.0
2019-08-24,Schalke 04,Bayern Munich,0,3,A,0,1,9,10,2,6,3,4,11,10,Bundesliga,1.08016,1.59729,6,9,18.28,9.68421052631579,8.55,4.95,1.38,2019/2020,14.0,1.0
2019-08-25,RB Leipzig,Ein Frankfurt,2,1,H,1,0,13,11,5,5,4,1,10,13,Bundesliga,1.77604,0.935237,2,4,13.863636363636363,9.296296296296296,1.5,4.61,6.13,2019/2020,3.0,7.0
2019-08-25,Hertha,Wolfsburg,0,3,A,0,1,8,9,2,4,2,5,15,11,Bundesliga,0.936557,1.33245,10,5,7.961538461538462,11.307692307692308,2.44,3.47,2.9,2019/2020,11.0,6.0
2019-08-30,M'gladbach,RB Leipzig,1,3,A,0,1,11,14,3,6,9,5,17,19,Bundesliga,1.4586,3.13131,4,7,8.285714285714286,8.166666666666666,3.25,3.84,2.11,2019/2020,5.0,3.0
2019-08-31,Bayern Munich,Mainz,6,1,H,2,1,19,7,10,4,10,1,16,12,Bundesliga,3.34597,0.72047,8,2,5.354838709677419,20.35,1.08,11.46,31.03,2019/2020,1.0,12.0
2019-08-31,Freiburg,FC Koln,1,2,A,1,0,14,9,1,3,5,6,6,15,Bundesliga,0.838391,1.62928,1,3,11.4375,6.588235294117647,2.43,3.47,2.94,2019/2020,13.0,-1.0
2019-08-31,Leverkusen,Hoffenheim,0,0,D,0,0,20,6,2,1,19,0,7,11,Bundesliga,0.936475,0.450548,8,1,7.6923076923076925,20.83333333333333,1.54,4.86,5.22,2019/2020,4.0,9.0
2019-08-31,Schalke 04,Hertha,3,0,H,1,0,9,9,2,3,5,3,13,9,Bundesliga,1.16546,0.771094,7,6,11.772727272727272,21.375,2.14,3.49,3.5,2019/2020,14.0,11.0
