,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
0,2014-08-23,Almeria,Espanol,1,1,0,0,D,1,La_liga,1.8794,6.666666666666667,15.8,0.7712,73,70,71,72,76,73,72,73,2.7,3.25,2.74,2014/2015,0,1,0,0,1,0,,,,,,,,,0.17,0.5,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3,-3,-1,-1
1,2014-08-23,Granada,La Coruna,2,1,0,1,H,1,La_liga,1.4479000000000002,4.775,5.8,1.0774,72,74,72,73,71,72,72,73,2.02,3.22,4.21,2014/2015,1,0,0,1,0,0,,,,,,,,,0.67,1.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,1,2,0,0
2,2014-08-23,Malaga,Ath Bilbao,1,0,1,0,H,1,La_liga,1.5303,12.071428571428571,6.3,1.1382,74,73,74,74,77,77,77,77,2.86,3.27,2.57,2014/2015,1,0,0,1,0,0,,,,,,,,,0.33,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3,-4,-3,-3
3,2014-08-23,Sevilla,Valencia,1,1,1,0,D,1,La_liga,0.8857999999999999,9.416666666666666,10.65,1.8236,79,76,77,78,81,79,77,79,2.06,3.47,3.7,2014/2015,0,1,0,0,1,0,,,,,,,,,0.33,1.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-2,-3,0,-1
4,2014-08-24,Barcelona,Elche,3,0,1,0,H,1,La_liga,2.605,6.545454545454546,18.392857142857142,0.2245,88,85,81,84,72,72,72,72,1.09,10.79,26.92,2014/2015,1,0,0,1,0,0,,,,,,,,,0.5,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,16,13,9,12
5,2014-08-24,Celta,Getafe,3,1,1,0,H,1,La_liga,2.3166,5.378378378378378,12.4,0.486,75,74,73,74,72,73,69,73,1.92,3.51,4.19,2014/2015,1,0,0,1,0,0,,,,,,,,,0.38,0.33,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,3,1,4,1
6,2014-08-24,Eibar,Sociedad,1,0,1,0,H,1,La_liga,0.8341,8.791666666666666,6.666666666666667,1.8058,72,72,72,72,78,76,76,76,3.39,3.34,2.24,2014/2015,1,0,0,1,0,0,,,,,,,,,0.2,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-6,-4,-4,-4
7,2014-08-24,Levante,Villarreal,0,2,0,0,A,1,La_liga,0.0618,10.5,19.5625,2.8986,73,71,73,72,78,76,74,76,3.57,3.38,2.15,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.33,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-5,-5,-1,-4
8,2014-08-25,Real Madrid,Cordoba,2,0,1,0,H,1,La_liga,1.5211,8.48,21.5625,1.0183,86,83,81,84,72,71,70,71,1.07,13.46,34.38,2014/2015,1,0,0,1,0,0,,,,,,,,,0.25,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,14,12,11,13
9,2014-08-25,Vallecano,Ath Madrid,0,0,0,0,D,1,La_liga,0.7398,6.92,10.59375,1.8987,75,73,75,74,81,78,79,80,6.77,4.11,1.53,2014/2015,0,1,0,0,1,0,,,,,,,,,0.0,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-6,-5,-4,-6
10,2014-08-29,Getafe,Almeria,1,0,1,0,H,1,La_liga,1.3879,7.555555555555555,9.076923076923077,1.318,72,73,69,73,73,70,71,72,2.06,3.37,3.86,2014/2015,1,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.33,0.0,,,1,1,3,1,-2,0,,,,,,,,,,,,,,,0,1,0.0,1.0,,,-1,-1,3,-2,1
11,2014-08-29,Valencia,Malaga,3,0,2,0,H,1,La_liga,2.0568,6.066666666666666,15.36842105263158,0.7086,81,79,77,79,74,73,74,74,1.57,4.15,6.01,2014/2015,1,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.75,0.0,,,1,1,1,0,0,1,,,,,,,,,,,,,,,1,3,1.0,3.0,,,-2,7,6,3,5
12,2014-08-30,Ath Bilbao,Levante,3,0,1,0,H,1,La_liga,2.779,8.863636363636363,9.545454545454543,0.1366,77,77,77,77,73,71,73,72,1.33,5.03,10.45,2014/2015,1,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.6,0.0,,,0,0,1,2,-1,-2,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,4,6,4,5
13,2014-08-30,Ath Madrid,Eibar,2,1,2,1,H,1,La_liga,1.7932,11.761904761904765,4.433333333333334,0.9091,81,78,79,80,72,72,72,72,1.23,6.01,14.36,2014/2015,1,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.33,0.5,,,0,1,0,0,0,1,,,,,,,,,,,,,,,1,3,1.0,3.0,,,-2,9,6,7,8
14,2014-08-30,Cordoba,Celta,1,1,0,0,D,1,La_liga,0.7196,12.37037037037037,6.121212121212121,1.8725,72,71,70,71,75,74,73,74,3.36,3.29,2.27,2014/2015,0,1,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,,,1.0,0.25,,,0,3,2,1,-2,2,,,,,,,,,,,,,,,0,3,0.0,3.0,,,-3,-3,-3,-3,-3
15,2014-08-30,Espanol,Sevilla,1,2,0,1,A,1,La_liga,0.983,7.027777777777778,6.68,1.6688,76,73,72,73,79,76,77,78,2.52,3.26,2.96,2014/2015,0,0,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,,,0.5,0.33,,,1,1,1,1,0,0,,,,,,,,,,,,,,,1,1,1.0,1.0,,,0,-3,-3,-5,-5
16,2014-08-31,Elche,Granada,1,1,0,0,D,1,La_liga,1.8614,5.896551724137931,14.63157894736842,0.8333,72,72,72,72,72,74,72,73,2.28,3.2,3.46,2014/2015,0,1,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.33,0.25,,,0,2,3,1,-3,1,,,,,,,,,,,,,,,0,3,0.0,3.0,,,-3,0,-2,0,-1
17,2014-08-31,La Coruna,Vallecano,2,2,1,1,D,1,La_liga,1.1583,9.25,7.733333333333333,1.5912,71,72,72,73,75,73,75,74,2.32,3.28,3.28,2014/2015,0,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.4,1.0,,,1,0,2,0,-1,0,,,,,,,,,,,,,,,0,1,0.0,1.0,,,-1,-4,-1,-3,-1
18,2014-08-31,Sociedad,Real Madrid,4,2,2,2,H,1,La_liga,1.6907,9.291666666666666,6.793103448275862,1.0946,78,76,76,76,86,83,81,84,7.94,5.08,1.39,2014/2015,1,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.8,0.4,,,0,2,1,0,-1,2,,,,,,,,,,,,,,,0,3,0.0,3.0,,,-3,-8,-7,-5,-8
19,2014-08-31,Villarreal,Barcelona,0,1,0,0,A,1,La_liga,0.207,21.4,3.75,2.6874,78,76,74,76,88,85,81,84,5.27,4.32,1.6,2014/2015,0,0,1,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.12,,,2,3,0,0,2,3,,,,,,,,,,,,,,,3,3,3.0,3.0,,,0,-10,-9,-7,-8
20,2014-09-12,Almeria,Cordoba,1,1,1,1,D,1,La_liga,1.5613,6.0,8.333333333333334,1.1074,73,70,71,72,72,71,70,71,2.04,3.32,3.94,2014/2015,0,1,0,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.5,0.25,,,1,1,2,3,-1,-2,,,,,,,,,,,,,,,1,1,0.5,0.5,,,0,1,-1,1,1
