,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
0,2014-08-16,Arsenal,Crystal Palace,2.0,1.0,1.0,1.0,H,1,EPL,2.7946,2.933333333333333,14.172413793103448,0.1114,80,80,77,80,73,73,73,73,1.25,6.18,12.88,2014/2015,1,0,0,1,0,0,,,,,,,,,0.33,0.5,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,7,7,4,7
1,2014-08-16,Leicester,Everton,2.0,2.0,1.0,2.0,D,1,EPL,1.9461,14.48,11.6875,0.7617,71,72,68,72,78,78,78,78,3.16,3.32,2.42,2014/2015,0,1,0,0,1,0,,,,,,,,,0.67,0.67,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-7,-6,-10,-6
2,2014-08-16,Man United,Swansea,1.0,2.0,0.0,1.0,A,1,EPL,2.2359,10.12,17.94736842105263,0.4839,85,80,75,81,77,74,74,75,1.36,4.95,10.15,2014/2015,0,0,1,0,0,1,,,,,,,,,0.2,0.5,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,8,6,1,6
3,2014-08-16,QPR,Hull,0.0,1.0,0.0,0.0,A,1,EPL,2.0149,12.823529411764708,10.285714285714286,0.7402,74,74,71,75,75,73,70,73,2.53,3.19,3.08,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.25,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-1,1,1,2
4,2014-08-16,Stoke,Aston Villa,0.0,1.0,0.0,0.0,A,1,EPL,0.8041,4.125,14.043478260869565,1.8322,76,75,74,76,72,74,74,75,1.95,3.37,4.5,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.5,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,4,1,0,1
5,2014-08-16,West Brom,Sunderland,2.0,2.0,1.0,1.0,D,1,EPL,2.0358,5.935483870967742,13.6875,0.6965999999999999,74,74,71,74,76,73,72,74,2.25,3.28,3.53,2014/2015,0,1,0,0,1,0,,,,,,,,,0.4,1.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-2,1,-1,0
6,2014-08-16,West Ham,Tottenham,0.0,1.0,0.0,0.0,A,1,EPL,2.0216000000000003,11.25,10.956521739130435,0.7136,75,74,72,75,78,77,77,78,3.88,3.49,2.05,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.25,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3,-3,-5,-3
7,2014-08-17,Liverpool,Southampton,2.0,1.0,1.0,0.0,H,1,EPL,1.1776999999999995,11.333333333333334,11.13888888888889,1.5269,79,78,75,79,77,75,76,76,1.35,5.24,9.82,2014/2015,1,0,0,1,0,0,,,,,,,,,0.4,0.17,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,2,3,-1,3
8,2014-08-17,Newcastle,Man City,0.0,2.0,0.0,1.0,A,1,EPL,0.9422,15.590909090909092,12.909090909090908,1.7849,74,75,74,75,83,82,81,82,5.39,4.12,1.66,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.4,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-9,-7,-7,-7
9,2014-08-18,Burnley,Chelsea,1.0,3.0,1.0,3.0,A,1,EPL,0.2082,17.952380952380953,13.733333333333333,2.6745,71,70,71,70,82,82,81,83,9.44,4.7,1.4,2014/2015,0,0,1,0,0,1,,,,,,,,,0.5,1.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-11,-12,-10,-13
