,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,round,league,HTxpts,Hppda_coef,Appda_coef,ATxpts,HTatt_S,HTmid_S,HTdef_S,HTOVA_S,ATatt_S,ATmid_S,ATdef_S,ATOVA_S,AVGH,AVGD,AVGA,season,HTW,HTD,HTL,ATL,ATD,ATW,HT_wins,AT_wins,HT_draws,AT_draws,HT_losses,AT_losses,l5_ravg_HTST,l5_ravg_ATST,HTCR,ATCR,l5_ravg_HTCR,l5_ravg_ATCR,HTGS,ATGS,HTGC,ATGC,HToveral,AToveral,l5_ravg_HTxG,l5_ravg_ATxG,l5_ravg_HTxpts,l5_ravg_ATxpts,l5_ravg_HTdeep,l5_ravg_ATdeep,l5_ravg_HTppda,l5_ravg_ATppda,l5_ravg_HTgs,l5_ravg_ATgs,l5_ravg_HTgc,l5_ravg_ATgc,l5_htdiff,l5_atdiff,HomeTeamPoints,AwayTeamPoints,avgHTP,avgATP,l5_ravg_HTp,l3_ravg_ATp,diff_points,diff_ATT,diff_MID,diff_DEF,diff_OVA
0,2014-08-30,Chievo,Juventus,0.0,1.0,0.0,1.0,A,1,Serie_A,0.2319,9.64864864864865,3.827586206896552,2.6451,74.0,73.0,72.0,72.0,78.0,78.0,80.0,80.0,7.19,4.03,1.53,2014/2015,0,0,1,0,0,1,,,,,,,,,0.0,0.33,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-4.0,-5.0,-8.0,-8.0
1,2014-08-30,Roma,Fiorentina,2.0,0.0,1.0,0.0,H,1,Serie_A,2.6843000000000004,8.571428571428571,16.5,0.2066,78.0,81.0,77.0,79.0,77.0,77.0,76.0,77.0,1.72,3.78,5.12,2014/2015,1,0,0,1,0,0,,,,,,,,,0.4,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,1.0,4.0,1.0,2.0
2,2014-08-31,Atalanta,Verona,0.0,0.0,0.0,0.0,D,1,Serie_A,1.4682,8.32,11.80952380952381,1.1634,77.0,74.0,71.0,73.0,73.0,73.0,71.0,72.0,2.1,3.33,3.7,2014/2015,0,1,0,0,1,0,,,,,,,,,0.0,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,4.0,1.0,0.0,1.0
3,2014-08-31,Cesena,Parma,1.0,0.0,1.0,0.0,H,1,Serie_A,2.0082,25.416666666666668,9.217391304347826,0.6858,68.0,68.0,66.0,68.0,71.0,70.0,69.0,71.0,3.28,3.15,2.39,2014/2015,1,0,0,1,0,0,,,,,,,,,0.2,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3.0,-2.0,-3.0,-3.0
4,2014-08-31,Genoa,Napoli,1.0,2.0,1.0,1.0,A,1,Serie_A,0.4185,12.28,9.727272727272728,2.3868,74.0,73.0,72.0,74.0,84.0,78.0,76.0,78.0,3.72,3.44,2.02,2014/2015,0,0,1,0,0,1,,,,,,,,,0.2,0.4,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-10.0,-5.0,-4.0,-4.0
5,2014-08-31,Milan,Lazio,3.0,1.0,1.0,0.0,H,1,Serie_A,1.3373,11.826086956521738,6.857142857142857,1.3898,77.0,76.0,76.0,77.0,78.0,75.0,75.0,77.0,2.0,3.45,4.0,2014/2015,1,0,0,1,0,0,,,,,,,,,0.75,0.25,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-1.0,1.0,1.0,0.0
6,2014-08-31,Palermo,Sampdoria,1.0,1.0,1.0,0.0,D,1,Serie_A,1.4397,12.789473684210526,6.666666666666667,1.2027,73.0,72.0,72.0,73.0,76.0,72.0,72.0,74.0,2.22,3.24,3.53,2014/2015,0,1,0,0,1,0,,,,,,,,,1.0,0.33,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3.0,0.0,0.0,-1.0
7,2014-08-31,Sassuolo,Cagliari,1.0,1.0,1.0,1.0,D,1,Serie_A,1.5238,13.083333333333334,5.162162162162162,1.1467,74.0,70.0,72.0,73.0,71.0,72.0,71.0,72.0,2.32,3.47,3.1,2014/2015,0,1,0,0,1,0,,,,,,,,,0.2,0.25,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,3.0,-2.0,1.0,1.0
8,2014-08-31,Torino,Inter,0.0,0.0,0.0,0.0,D,1,Serie_A,1.17,13.38888888888889,8.869565217391305,1.5054,75.0,73.0,76.0,74.0,78.0,74.0,76.0,77.0,3.23,3.33,2.33,2014/2015,0,1,0,0,1,0,,,,,,,,,0.0,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,-3.0,-1.0,0.0,-3.0
9,2014-08-31,Udinese,Empoli,2.0,0.0,0.0,0.0,H,1,Serie_A,2.1941,12.08695652173913,15.941176470588236,0.5842999999999999,73.0,73.0,73.0,73.0,71.0,72.0,73.0,72.0,1.83,3.54,4.73,2014/2015,1,0,0,1,0,0,,,,,,,,,0.4,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0.0,0.0,,,0,2.0,1.0,0.0,1.0
