,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,season,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeTeamForm,AwayTeamForm,0,1,2,3
0,I1,25/08/12,Fiorentina,Udinese,2.0,1.0,H,0.0,1.0,A,23.0,7.0,8.0,2.0,12.0,14.0,10.0,0.0,2.0,1.0,0.0,0.0,2.05,3.2,3.75,2.05,3.3,3.9,2.05,3.3,3.9,2.0,3.2,3.4,2.15,3.1,3.0,2.1,3.32,4.13,2.1,3.25,3.6,2.1,3.2,3.75,2.1,3.25,4.0,2.05,3.25,3.6,38.0,2.1,2.05,3.33,3.21,4.15,3.71,31.0,2.33,2.2,1.73,1.66,20.0,-0.25,1.85,1.76,2.19,2.11,1.97,3.31,4.74,2012/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,24/08/13,Sampdoria,Juventus,0.0,1.0,A,0.0,0.0,D,4.0,11.0,1.0,4.0,21.0,21.0,4.0,10.0,2.0,3.0,1.0,0.0,8.0,4.0,1.45,7.25,4.0,1.48,,,,5.5,4.0,1.55,6.0,4.0,1.53,7.94,4.02,1.55,7.0,4.0,1.5,7.5,3.8,1.44,7.5,4.0,1.55,,,,32.0,8.1,6.96,4.33,3.98,1.55,1.5,30.0,2.08,2.0,1.9,1.8,19.0,1.0,2.09,2.04,1.88,1.83,8.38,4.53,1.47,2013/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,30/08/14,Chievo,Juventus,0.0,1.0,A,0.0,1.0,A,7.0,21.0,2.0,3.0,13.0,14.0,4.0,11.0,2.0,1.0,0.0,0.0,7.0,4.0,1.5,6.0,3.9,1.55,,,,5.6,3.9,1.55,6.5,3.8,1.53,7.75,4.12,1.54,6.0,4.0,1.55,7.0,3.75,1.5,8.0,4.0,1.53,,,,49.0,8.0,7.01,4.2,3.9,1.56,1.53,47.0,2.11,1.98,1.89,1.8,27.0,1.0,2.0,1.94,1.98,1.92,8.35,3.84,1.56,2014/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,22/08/15,Lazio,Bologna,2.0,1.0,H,2.0,1.0,H,21.0,9.0,9.0,4.0,18.0,8.0,10.0,3.0,2.0,1.0,0.0,0.0,1.5,4.2,7.0,1.5,3.8,7.0,,,,1.5,4.0,6.1,1.44,4.33,7.5,1.48,4.52,8.27,1.5,4.0,7.0,,,,1.45,4.5,8.0,,,,40.0,1.51,1.46,4.52,4.27,8.27,7.39,38.0,1.94,1.84,2.01,1.94,25.0,-1.25,2.12,2.04,1.86,1.8,1.48,4.32,8.99,2015/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,20/08/16,Juventus,Fiorentina,2.0,1.0,H,1.0,0.0,H,19.0,4.0,4.0,1.0,11.0,16.0,3.0,1.0,1.0,3.0,0.0,0.0,1.5,4.2,7.0,1.48,4.0,7.75,,,,1.5,4.0,6.1,1.48,4.0,7.5,1.51,4.26,8.24,1.5,4.0,7.0,,,,1.5,4.2,8.0,,,,56.0,1.53,1.48,4.37,4.1,8.24,7.49,46.0,2.11,2.01,1.87,1.78,36.0,-1.0,1.85,1.82,2.11,2.04,1.51,4.15,8.61,2016/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,19/08/17,Juventus,Cagliari,3.0,0.0,H,2.0,0.0,H,17.0,5.0,7.0,2.0,13.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,1.14,8.0,19.0,1.16,7.5,17.0,,,,1.15,7.0,15.0,1.14,7.5,26.0,1.16,8.29,24.44,1.14,7.5,21.0,,,,1.14,8.0,21.0,,,,36.0,1.17,1.15,8.79,7.72,26.0,20.79,32.0,1.61,1.55,2.5,2.41,16.0,-2.0,1.83,1.8,2.13,2.07,1.13,9.74,27.7,2017/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,18/08/2018,Chievo,Juventus,2.0,3.0,A,1.0,1.0,D,7.0,23.0,2.0,11.0,7.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,13.0,5.75,1.25,14.0,6.25,1.22,,,,13.0,5.8,1.25,,,,15.87,6.21,1.25,13.0,6.0,1.22,,,,15.0,6.0,1.25,,,,41.0,15.87,13.7,6.44,5.88,1.27,1.24,38.0,1.75,1.7,2.24,2.13,19.0,2.0,1.68,1.64,2.38,2.29,18.84,6.42,1.22,2018/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,-----,0.0,0.0,1.0,0.0
0,I1,24/08/2019,Parma,Juventus,0.0,1.0,A,0.0,1.0,A,5.0,9.0,4.0,4.0,12.0,14.0,5.0,8.0,2.0,3.0,0.0,0.0,9.0,5.25,1.33,9.5,5.0,1.3,,,,9.5,5.2,1.33,,,,10.96,5.28,1.33,11.0,5.25,1.29,,,,12.0,5.25,1.3,,,,,,,,,,,,,,,,,,,,,,9.6,5.2,1.37,2019/2020,17:00,12.0,5.5,1.35,10.41,5.13,1.31,1.72,2.1,1.78,2.13,1.79,2.17,1.74,2.09,1.5,1.94,1.99,1.95,1.97,1.95,2.0,1.92,1.96,8.5,5.0,1.33,10.5,5.0,1.33,9.4,5.2,1.33,10.0,5.0,1.32,11.0,5.25,1.33,11.0,5.35,1.39,9.46,5.08,1.34,1.66,2.2,1.71,2.23,1.79,2.39,1.7,2.15,1.5,1.77,2.02,1.81,2.11,1.93,2.12,1.83,2.04,-----,-----,0.0,0.0,1.0,0.0
0,I1,19/09/2020,Fiorentina,Torino,1.0,0.0,H,0.0,0.0,D,17.0,6.0,8.0,3.0,17.0,20.0,4.0,1.0,3.0,1.0,0.0,0.0,1.83,3.75,4.2,1.91,3.7,3.9,,,,1.9,3.45,4.1,,,,1.87,3.81,4.24,1.85,3.6,4.33,,,,1.87,3.6,4.33,,,,,,,,,,,,,,,,,,,,,,1.84,3.9,4.45,2020/2021,17:00,1.94,3.85,4.6,1.87,3.69,4.13,1.8,2.0,1.85,2.05,1.9,2.1,1.81,2.02,-0.5,1.91,2.02,1.87,2.04,1.94,2.04,1.87,1.99,1.8,4.0,4.0,1.85,3.75,4.1,1.9,3.5,4.1,1.83,3.7,4.33,1.85,3.6,4.4,1.91,4.0,4.55,1.85,3.76,4.18,1.72,2.1,1.8,2.11,1.86,2.15,1.78,2.05,-0.5,1.86,2.07,1.84,2.1,1.87,2.1,1.84,2.03,-----,-----,0.0,0.0,1.0,0.0
0,I1,21/08/2021,Inter,Genoa,4.0,0.0,H,2.0,0.0,H,17.0,11.0,8.0,5.0,18.0,7.0,8.0,2.0,1.0,2.0,0.0,0.0,1.33,5.25,9.0,1.33,5.5,8.5,,,,1.37,5.25,8.0,,,,1.36,5.37,9.65,1.35,5.0,9.0,,,,1.3,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,1.31,5.78,11.37,2021/2022,17:30,1.4,5.5,10.0,1.35,5.16,8.94,1.66,2.2,1.67,2.33,1.71,2.38,1.63,2.28,-1.25,1.75,2.05,1.81,2.11,1.87,2.13,1.8,2.07,1.28,5.75,11.0,1.3,5.25,10.5,1.3,5.25,11.0,1.29,5.5,11.0,1.25,5.75,11.5,1.35,6.25,12.75,1.29,5.58,10.84,1.61,2.3,1.61,2.45,1.7,2.55,1.62,2.32,-1.5,1.88,2.05,1.89,2.03,1.96,2.09,1.86,2.01,-----,-----,0.0,0.0,1.0,0.0
